PLANT,PLANT_LAT,PLANT_LNG,SHIPMENTS,DESTINATION,DESTINATION_ZIP,DESTINATION_STATE,DESTINATION_COUNTRY,DESTINATION_STATE_LAT,DESTINATION_STATE_LNG,DESTINATION_ZIP_LAT,DESTINATION_ZIP_LNG
560,40.57,-112.33,2,MODESTO,95358,CA,US,36.17,-119.7462,37.65,-121.13
560,40.57,-112.33,1,PROVO,84602,UT,US,40.1135,-111.8535,40.22,-111.69
540,30.19,-82.64,2,FORTRUCKER,36362,AL,US,32.799,-86.8073,31.34,-85.71
540,30.19,-82.64,1,SANDYSPRINGS,30342,GA,US,32.9866,-83.6487,33.88,-84.37
646,28.04,-81.96,1,CHATTANOOGA,37421,TN,US,35.7449,-86.7489,35.06,-85.25
550,32.73,-96.29,1,EDINBURG,78539,TX,US,31.106,-97.6475,26.29,-98.16
646,28.04,-81.96,1,JACKSONVILLE,32209,FL,US,27.8333,-81.717,30.33,-81.65
646,28.04,-81.96,1,LECANTO,34461,FL,US,27.8333,-81.717,28.85,-82.48
646,28.04,-81.96,1,WILLISTON,32696,FL,US,27.8333,-81.717,29.37,-82.45
90,34.61,-89.97,7,HOUSTON,77017,TX,US,31.106,-97.6475,29.76,-95.38
641,41.22,-96.48,1,AMARILLO,79101,TX,US,31.106,-97.6475,35.2,-101.81
664,33.98,-117.65,1,LOMPOC,93436,CA,US,36.17,-119.7462,34.6,-120.39
664,33.98,-117.65,1,ATASCADERO,93422,CA,US,36.17,-119.7462,35.45,-120.71
530,41.93,-87.87,1,ITASCA,60143,IL,US,40.3363,-89.0022,41.97,-88.01
